port,year,month,ph,do,EC,salinity,採樣時間,潮汐,天氣
烏石港,2026,1,7.86,5.91,50.1,39.13,10:25,漲潮,晴
烏石港,2026,2,7.85,5.20,50.6,37.62,10:38,退潮,晴
烏石港,2026,3,7.65,4.78,47.7,39.19,10:53,退潮,雨
烏石港,2026,4,,,,,,,
烏石港,2026,5,,,,,,,
烏石港,2026,6,,,,,,,
烏石港,2026,7,,,,,,,
烏石港,2026,8,,,,,,,
烏石港,2026,9,,,,,,,
烏石港,2026,10,,,,,,,
烏石港,2026,11,,,,,,,
烏石港,2026,12,,,,,,,
梗枋漁港,2026,1,7.79,5.55,50.65,38.98,11:24,漲潮,晴
梗枋漁港,2026,2,7.77,5.01,51.3,37.54,11:33,退潮,晴
梗枋漁港,2026,3,7.68,4.74,49.4,40.84,12:06,退潮,雨
梗枋漁港,2026,4,,,,,,,
梗枋漁港,2026,5,,,,,,,
梗枋漁港,2026,6,,,,,,,
梗枋漁港,2026,7,,,,,,,
梗枋漁港,2026,8,,,,,,,
梗枋漁港,2026,9,,,,,,,
梗枋漁港,2026,10,,,,,,,
梗枋漁港,2026,11,,,,,,,
梗枋漁港,2026,12,,,,,,,
大溪第一漁港,2026,1,7.90,6.50,50.7,39.84,12:17,漲潮,晴
大溪第一漁港,2026,2,8.00,6.64,50.7,38.20,13:05,退潮,晴
大溪第一漁港,2026,3,7.74,5.00,47.55,40.07,13:35,退潮,雨
大溪第一漁港,2026,4,,,,,,,
大溪第一漁港,2026,5,,,,,,,
大溪第一漁港,2026,6,,,,,,,
大溪第一漁港,2026,7,,,,,,,
大溪第一漁港,2026,8,,,,,,,
大溪第一漁港,2026,9,,,,,,,
大溪第一漁港,2026,10,,,,,,,
大溪第一漁港,2026,11,,,,,,,
大溪第一漁港,2026,12,,,,,,,
大溪第二漁港,2026,1,7.44,2.64,45.35,35.93,13:26,漲潮,晴
大溪第二漁港,2026,2,7.56,0.99,50.3,36.60,13:25,退潮,晴
大溪第二漁港,2026,3,7.34,1.21,43.55,35.69,13:45,退潮,雨
大溪第二漁港,2026,4,,,,,,,
大溪第二漁港,2026,5,,,,,,,
大溪第二漁港,2026,6,,,,,,,
大溪第二漁港,2026,7,,,,,,,
大溪第二漁港,2026,8,,,,,,,
大溪第二漁港,2026,9,,,,,,,
大溪第二漁港,2026,10,,,,,,,
大溪第二漁港,2026,11,,,,,,,
大溪第二漁港,2026,12,,,,,,,
蕃薯寮漁港,2026,1,8.03,9.73,51.2,40.59,13:48,漲潮,晴
蕃薯寮漁港,2026,2,8.17,9.80,51.8,39.46,14:28,退潮,晴
蕃薯寮漁港,2026,3,7.88,7.27,49.4,41.95,14:48,漲潮,雨
蕃薯寮漁港,2026,4,,,,,,,
蕃薯寮漁港,2026,5,,,,,,,
蕃薯寮漁港,2026,6,,,,,,,
蕃薯寮漁港,2026,7,,,,,,,
蕃薯寮漁港,2026,8,,,,,,,
蕃薯寮漁港,2026,9,,,,,,,
蕃薯寮漁港,2026,10,,,,,,,
蕃薯寮漁港,2026,11,,,,,,,
蕃薯寮漁港,2026,12,,,,,,,
大里漁港,2026,1,7.83,7.50,51.2,39.57,14:10,漲潮,晴
大里漁港,2026,2,7.98,7.20,51.1,38.69,14:42,退潮,晴
大里漁港,2026,3,7.78,6.20,48.5,39.80,15:05,漲潮,雨
大里漁港,2026,4,,,,,,,
大里漁港,2026,5,,,,,,,
大里漁港,2026,6,,,,,,,
大里漁港,2026,7,,,,,,,
大里漁港,2026,8,,,,,,,
大里漁港,2026,9,,,,,,,
大里漁港,2026,10,,,,,,,
大里漁港,2026,11,,,,,,,
大里漁港,2026,12,,,,,,,
桶盤堀漁港,2026,1,8.14,8.46,51.55,40.78,15:29,漲潮,晴
桶盤堀漁港,2026,2,8.14,7.70,51.6,38.73,15:59,漲潮,晴
桶盤堀漁港,2026,3,7.87,7.31,49.75,42.56,16:12,漲潮,雨
桶盤堀漁港,2026,4,,,,,,,
桶盤堀漁港,2026,5,,,,,,,
桶盤堀漁港,2026,6,,,,,,,
桶盤堀漁港,2026,7,,,,,,,
桶盤堀漁港,2026,8,,,,,,,
桶盤堀漁港,2026,9,,,,,,,
桶盤堀漁港,2026,10,,,,,,,
桶盤堀漁港,2026,11,,,,,,,
桶盤堀漁港,2026,12,,,,,,,
石城漁港,2026,1,8.09,9.59,50.9,40.01,15:04,漲潮,晴
石城漁港,2026,2,8.03,7.65,50.4,37.52,15:14,漲潮,晴
石城漁港,2026,3,7.83,7.05,47.55,39.17,16:12,漲潮,雨
石城漁港,2026,4,,,,,,,
石城漁港,2026,5,,,,,,,
石城漁港,2026,6,,,,,,,
石城漁港,2026,7,,,,,,,
石城漁港,2026,8,,,,,,,
石城漁港,2026,9,,,,,,,
石城漁港,2026,10,,,,,,,
石城漁港,2026,11,,,,,,,
石城漁港,2026,12,,,,,,,
蘇澳港,2026,1,7.72,5.11,51.2,36.21,10:12,退潮,晴
蘇澳港,2026,2,7.69,6.47,48.45,34.76,10:10,退潮,陰
蘇澳港,2026,3,7.65,6.91,47.25,40.51,12:31,漲潮,晴
蘇澳港,2026,4,,,,,,,
蘇澳港,2026,5,,,,,,,
蘇澳港,2026,6,,,,,,,
蘇澳港,2026,7,,,,,,,
蘇澳港,2026,8,,,,,,,
蘇澳港,2026,9,,,,,,,
蘇澳港,2026,10,,,,,,,
蘇澳港,2026,11,,,,,,,
蘇澳港,2026,12,,,,,,,
南方澳第三漁港,2026,1,7.27,3.32,50.15,35.21,13:28,漲潮,晴
南方澳第三漁港,2026,2,7.46,4.50,47.75,34.57,14:25,漲潮,陰
南方澳第三漁港,2026,3,7.63,5.56,48.15,34.86,14:51,漲潮,雨
南方澳第三漁港,2026,4,,,,,,,
南方澳第三漁港,2026,5,,,,,,,
南方澳第三漁港,2026,6,,,,,,,
南方澳第三漁港,2026,7,,,,,,,
南方澳第三漁港,2026,8,,,,,,,
南方澳第三漁港,2026,9,,,,,,,
南方澳第三漁港,2026,10,,,,,,,
南方澳第三漁港,2026,11,,,,,,,
南方澳第三漁港,2026,12,,,,,,,
南方澳第一漁港,2026,1,6.91,2.11,47.9,34.50,12:46,漲潮,晴
南方澳第一漁港,2026,2,6.51,3.62,38.6,26.73,16:42,漲潮,陰
南方澳第一漁港,2026,3,6.89,2.96,41.2,29.15,14:15,漲潮,雨
南方澳第一漁港,2026,4,,,,,,,
南方澳第一漁港,2026,5,,,,,,,
南方澳第一漁港,2026,6,,,,,,,
南方澳第一漁港,2026,7,,,,,,,
南方澳第一漁港,2026,8,,,,,,,
南方澳第一漁港,2026,9,,,,,,,
南方澳第一漁港,2026,10,,,,,,,
南方澳第一漁港,2026,11,,,,,,,
南方澳第一漁港,2026,12,,,,,,,
南方澳第二漁港,2026,1,6.24,2.22,46.3,32.95,11:41,退潮,晴
南方澳第二漁港,2026,2,6.16,2.82,40.5,28.69,15:31,漲潮,陰
南方澳第二漁港,2026,3,5.92,3.26,32.6,22.38,12:58,漲潮,雨
南方澳第二漁港,2026,4,,,,,,,
南方澳第二漁港,2026,5,,,,,,,
南方澳第二漁港,2026,6,,,,,,,
南方澳第二漁港,2026,7,,,,,,,
南方澳第二漁港,2026,8,,,,,,,
南方澳第二漁港,2026,9,,,,,,,
南方澳第二漁港,2026,10,,,,,,,
南方澳第二漁港,2026,11,,,,,,,
南方澳第二漁港,2026,12,,,,,,,
粉鳥林漁港,2026,1,7.86,5.72,51.85,36.86,14:41,漲潮,晴
粉鳥林漁港,2026,2,8.02,7.46,50.25,37.25,11:50,退潮,陰
粉鳥林漁港,2026,3,8.02,6.74,49.7,42.14,14:05,漲潮,晴
粉鳥林漁港,2026,4,,,,,,,
粉鳥林漁港,2026,5,,,,,,,
粉鳥林漁港,2026,6,,,,,,,
粉鳥林漁港,2026,7,,,,,,,
粉鳥林漁港,2026,8,,,,,,,
粉鳥林漁港,2026,9,,,,,,,
粉鳥林漁港,2026,10,,,,,,,
粉鳥林漁港,2026,11,,,,,,,
粉鳥林漁港,2026,12,,,,,,,
朝陽漁港,2026,1,7.87,5.58,45.5,32.12,16:13,漲潮,晴
朝陽漁港,2026,2,7.87,6.88,46,34.18,12:53,退潮,陰
朝陽漁港,2026,3,8.00,6.61,45.2,39.58,15:24,漲潮,晴
朝陽漁港,2026,4,,,,,,,
朝陽漁港,2026,5,,,,,,,
朝陽漁港,2026,6,,,,,,,
朝陽漁港,2026,7,,,,,,,
朝陽漁港,2026,8,,,,,,,
朝陽漁港,2026,9,,,,,,,
朝陽漁港,2026,10,,,,,,,
朝陽漁港,2026,11,,,,,,,
朝陽漁港,2026,12,,,,,,,
